ticket_id,department,priority
TKT00966,Sales,Low
TKT00967,Billing,Low
TKT00968,Account Management,Low
TKT00969,Technical Support,Medium
TKT00970,Billing,Low
TKT00971,Billing,Medium
TKT00972,Technical Support,Medium
TKT00973,Account Management,Low
TKT00974,Account Management,Medium
TKT00975,Product Feedback,Medium
TKT00976,Billing,Medium
TKT00977,Sales,Low
TKT00978,Sales,Medium
TKT00979,Account Management,Medium
TKT00980,Technical Support,Medium
TKT00981,Billing,Low
TKT00982,Technical Support,Medium
TKT00983,Sales,Low
TKT00984,Product Feedback,Low
TKT00985,Account Management,Medium
TKT00986,Product Feedback,Medium
TKT00987,Product Feedback,Low
TKT00988,Sales,High
TKT00989,Technical Support,Medium
TKT00990,Technical Support,Low
TKT00991,Product Feedback,Medium
TKT00992,Billing,Low
TKT00993,Account Management,Medium
TKT00994,Account Management,Low
TKT00995,Account Management,Medium
TKT00996,Product Feedback,Low
TKT00997,Technical Support,Medium
TKT00998,Billing,Medium
TKT00999,Product Feedback,Low
TKT01000,Account Management,Low
TKT01001,Billing,Low
TKT01002,Product Feedback,Medium
TKT01003,Technical Support,Low
TKT01004,Billing,Medium
TKT01005,Technical Support,Low
TKT01006,Billing,Low
TKT01007,Technical Support,Low
TKT01008,Product Feedback,Low
TKT01009,Technical Support,Medium
TKT01010,Account Management,Medium
TKT01011,Sales,Medium
TKT01012,Technical Support,High
TKT01013,Billing,Low
TKT01014,Product Feedback,High
TKT01015,Account Management,Low
TKT01016,Billing,High
TKT01017,Technical Support,Low
TKT01018,Sales,Low
TKT01019,Product Feedback,Low
TKT01020,Product Feedback,Medium
TKT01021,Account Management,Low
TKT01022,Account Management,Medium
TKT01023,Account Management,Low
TKT01024,Product Feedback,Medium
TKT01025,Account Management,Medium
TKT01026,Sales,Low
TKT01027,Product Feedback,Low
TKT01028,Account Management,Medium
TKT01029,Product Feedback,Low
TKT01030,Billing,Medium
TKT01031,Account Management,Medium
TKT01032,Account Management,Low
TKT01033,Product Feedback,Low
TKT01034,Product Feedback,High
TKT01035,Billing,Medium
TKT01036,Sales,Low
TKT01037,Billing,Medium
TKT01038,Account Management,Medium
TKT01039,Technical Support,Low
TKT01040,Account Management,Low
TKT01041,Sales,Low
TKT01042,Sales,Medium
TKT01043,Billing,Low
TKT01044,Account Management,Low
TKT01045,Product Feedback,Low
TKT01046,Billing,High
TKT01047,Account Management,Low
TKT01048,Product Feedback,Medium
TKT01049,Billing,Medium
TKT01050,Technical Support,Medium
TKT01051,Billing,High
TKT01052,Sales,High
TKT01053,Account Management,Low
TKT01054,Technical Support,Medium
TKT01055,Billing,High
TKT01056,Sales,Medium
TKT01057,Sales,Medium
TKT01058,Technical Support,Low
TKT01059,Sales,Medium
TKT01060,Product Feedback,Medium
TKT01061,Account Management,Low
TKT01062,Account Management,Low
TKT01063,Technical Support,Low
TKT01064,Product Feedback,Medium
TKT01065,Technical Support,Medium
TKT01066,Technical Support,Medium
TKT01067,Sales,Medium
TKT01068,Account Management,Low
TKT01069,Sales,High
TKT01070,Billing,Medium
TKT01071,Technical Support,High
TKT01072,Product Feedback,High
TKT01073,Technical Support,Low
TKT01074,Sales,Medium
TKT01075,Billing,Medium
TKT01076,Billing,Low
TKT01077,Account Management,Medium
TKT01078,Product Feedback,Low
TKT01079,Account Management,Low
TKT01080,Billing,Medium
TKT01081,Product Feedback,Low
TKT01082,Account Management,High
TKT01083,Technical Support,Low
TKT01084,Account Management,Low
TKT01085,Product Feedback,Low
TKT01086,Product Feedback,Medium
TKT01087,Sales,Low
TKT01088,Technical Support,Low
TKT01089,Technical Support,Medium
TKT01090,Account Management,Medium
TKT01091,Technical Support,Low
TKT01092,Account Management,Medium
TKT01093,Technical Support,Medium
TKT01094,Technical Support,High
TKT01095,Technical Support,Medium
TKT01096,Account Management,High
TKT01097,Billing,Low
TKT01098,Account Management,Low
TKT01099,Account Management,High
TKT01100,Account Management,Medium
TKT01101,Product Feedback,Low
TKT01102,Technical Support,Medium
TKT01103,Sales,Medium
TKT01104,Sales,Low
TKT01105,Billing,Medium
TKT01106,Technical Support,High
TKT01107,Product Feedback,Low
TKT01108,Technical Support,Medium
TKT01109,Technical Support,Low
TKT01110,Technical Support,High
TKT01111,Sales,Medium
TKT01112,Account Management,Low
TKT01113,Product Feedback,Low
TKT01114,Account Management,High
TKT01115,Billing,Medium
TKT01116,Sales,Medium
TKT01117,Sales,Medium
TKT01118,Billing,Medium
TKT01119,Account Management,High
TKT01120,Technical Support,Medium
TKT01121,Billing,Medium
TKT01122,Product Feedback,High
TKT01123,Technical Support,Low
TKT01124,Account Management,High
TKT01125,Technical Support,Low
TKT01126,Product Feedback,Low
TKT01127,Product Feedback,High
TKT01128,Sales,Medium
TKT01129,Billing,Medium
TKT01130,Technical Support,Low
TKT01131,Product Feedback,Medium
TKT01132,Billing,Low
TKT01133,Account Management,Medium
TKT01134,Account Management,Medium
TKT01135,Technical Support,Low
TKT01136,Billing,High
TKT01137,Technical Support,Medium
TKT01138,Account Management,Medium
TKT01139,Product Feedback,Medium
TKT01140,Account Management,Medium
TKT01141,Product Feedback,Medium
TKT01142,Sales,Low
TKT01143,Account Management,Low
TKT01144,Account Management,High
TKT01145,Billing,Low
TKT01146,Billing,High
TKT01147,Product Feedback,Medium
TKT01148,Technical Support,High
TKT01149,Product Feedback,Medium
TKT01150,Technical Support,Medium
TKT01151,Technical Support,Low
TKT01152,Billing,Low
TKT01153,Billing,Medium
TKT01154,Technical Support,Low
TKT01155,Sales,Medium
TKT01156,Billing,High
TKT01157,Product Feedback,Medium
TKT01158,Product Feedback,High
TKT01159,Sales,High
TKT01160,Technical Support,High
TKT01161,Technical Support,Low
TKT01162,Account Management,Low
TKT01163,Account Management,Low
TKT01164,Account Management,High
TKT01165,Product Feedback,Low
TKT01166,Product Feedback,Medium
TKT01167,Account Management,Medium
TKT01168,Account Management,Low
TKT01169,Sales,Medium
TKT01170,Billing,Low
TKT01171,Product Feedback,Medium
TKT01172,Technical Support,High
TKT01173,Sales,Medium
TKT01174,Billing,Medium
TKT01175,Billing,Medium
TKT01176,Product Feedback,Medium
TKT01177,Product Feedback,Low
TKT01178,Product Feedback,Medium
TKT01179,Account Management,High
TKT01180,Technical Support,Medium
TKT01181,Sales,Low
TKT01182,Product Feedback,High
TKT01183,Sales,Low
TKT01184,Technical Support,Medium
TKT01185,Technical Support,Medium
TKT01186,Sales,High
TKT01187,Product Feedback,High
TKT01188,Account Management,Medium
TKT01189,Sales,Low
TKT01190,Technical Support,Medium
TKT01191,Account Management,Medium
TKT01192,Billing,Low
TKT01193,Account Management,High
TKT01194,Billing,High
TKT01195,Billing,Medium
TKT01196,Product Feedback,Low
TKT01197,Account Management,Low
TKT01198,Technical Support,Medium
TKT01199,Sales,High
TKT01200,Product Feedback,Low
TKT01201,Technical Support,Medium
TKT01202,Product Feedback,Medium
TKT01203,Product Feedback,Medium
TKT01204,Account Management,Medium
TKT01205,Account Management,Medium
TKT01206,Billing,High
TKT01207,Technical Support,Medium
TKT01208,Account Management,Low
TKT01209,Sales,Low
TKT01210,Technical Support,Medium
TKT01211,Billing,High
TKT01212,Account Management,High
TKT01213,Sales,High
TKT01214,Account Management,Low
TKT01215,Technical Support,Medium
TKT01216,Account Management,Low
TKT01217,Account Management,Low
TKT01218,Product Feedback,Low
TKT01219,Account Management,Medium
TKT01220,Billing,Low
TKT01221,Product Feedback,Low
TKT01222,Technical Support,Low
TKT01223,Account Management,Low
TKT01224,Billing,Medium
TKT01225,Account Management,High
TKT01226,Sales,High
TKT01227,Product Feedback,Medium
TKT01228,Product Feedback,High
TKT01229,Product Feedback,Medium
TKT01230,Billing,Medium
TKT01231,Sales,Low
TKT01232,Sales,Medium
TKT01233,Billing,High
TKT01234,Account Management,Medium
TKT01235,Sales,Low
TKT01236,Sales,High
TKT01237,Sales,Low
TKT01238,Sales,Low
TKT01239,Technical Support,Low
TKT01240,Account Management,High
TKT01241,Account Management,High
TKT01242,Product Feedback,Medium
TKT01243,Sales,Low
TKT01244,Account Management,Medium
TKT01245,Billing,Low
TKT01246,Sales,Low
TKT01247,Account Management,Low
TKT01248,Sales,High
TKT01249,Technical Support,High
TKT01250,Billing,Medium
TKT01251,Technical Support,High
TKT01252,Account Management,Low
TKT01253,Product Feedback,Low
TKT01254,Technical Support,Medium
TKT01255,Technical Support,Medium
TKT01256,Technical Support,Low
TKT01257,Billing,Medium
TKT01258,Technical Support,Medium
TKT01259,Technical Support,Low
TKT01260,Technical Support,Medium
TKT01261,Sales,High
TKT01262,Product Feedback,Low
TKT01263,Billing,High
TKT01264,Account Management,Low
TKT01265,Technical Support,Medium
TKT01266,Sales,Low
TKT01267,Sales,Medium
TKT01268,Account Management,Low
TKT01269,Account Management,Low
TKT01270,Billing,Low
TKT01271,Product Feedback,Medium
TKT01272,Product Feedback,Medium
TKT01273,Product Feedback,Low
TKT01274,Product Feedback,Medium
TKT01275,Product Feedback,High
TKT01276,Product Feedback,Medium
TKT01277,Product Feedback,Low
TKT01278,Billing,Low
TKT01279,Product Feedback,Low
TKT01280,Account Management,Low
TKT01281,Product Feedback,Low
TKT01282,Product Feedback,High
TKT01283,Account Management,Medium
TKT01284,Account Management,Low
TKT01285,Sales,Low
TKT01286,Product Feedback,Low
TKT01287,Account Management,High
TKT01288,Product Feedback,Low
TKT01289,Account Management,Medium
TKT01290,Account Management,Low
TKT01291,Account Management,Low
TKT01292,Billing,Medium
TKT01293,Product Feedback,High
TKT01294,Product Feedback,High
TKT01295,Product Feedback,Low
TKT01296,Product Feedback,Medium
TKT01297,Technical Support,Low
TKT01298,Account Management,Medium
TKT01299,Product Feedback,Medium
TKT01300,Product Feedback,Low
TKT01301,Sales,Medium
TKT01302,Account Management,High
TKT01303,Sales,Low
TKT01304,Billing,Low
TKT01305,Technical Support,Low
TKT01306,Product Feedback,Low
TKT01307,Account Management,Low
TKT01308,Technical Support,Low
TKT01309,Billing,Low
TKT01310,Billing,Low
TKT01311,Sales,High
TKT01312,Account Management,Low
TKT01313,Billing,Medium
TKT01314,Billing,Low
TKT01315,Billing,High
TKT01316,Sales,Low
TKT01317,Sales,Medium
TKT01318,Account Management,Medium
TKT01319,Account Management,Medium
TKT01320,Technical Support,High
TKT01321,Sales,Medium
TKT01322,Billing,Low
TKT01323,Technical Support,Medium
TKT01324,Product Feedback,Low
TKT01325,Billing,Low
TKT01326,Product Feedback,High
TKT01327,Product Feedback,Medium
TKT01328,Technical Support,Medium
TKT01329,Technical Support,Low
TKT01330,Product Feedback,Medium
TKT01331,Sales,Low
TKT01332,Technical Support,Medium
TKT01333,Technical Support,High
TKT01334,Sales,Medium
TKT01335,Sales,Low
TKT01336,Technical Support,High
TKT01337,Product Feedback,Medium
TKT01338,Billing,Medium
TKT01339,Product Feedback,Low
TKT01340,Billing,Low
TKT01341,Billing,Medium
TKT01342,Sales,Low
TKT01343,Sales,Medium
TKT01344,Account Management,Low
TKT01345,Product Feedback,Low
TKT01346,Product Feedback,Medium
TKT01347,Product Feedback,Low
TKT01348,Technical Support,High
TKT01349,Product Feedback,Medium
TKT01350,Sales,Low
TKT01351,Technical Support,Low
TKT01352,Account Management,Low
TKT01353,Product Feedback,Medium
TKT01354,Billing,Medium
TKT01355,Product Feedback,Medium
TKT01356,Account Management,Medium
TKT01357,Sales,Medium
TKT01358,Technical Support,Medium
TKT01359,Technical Support,Medium
TKT01360,Technical Support,Low
TKT01361,Technical Support,Low
TKT01362,Billing,Medium
TKT01363,Sales,Low
TKT01364,Sales,Medium
TKT01365,Sales,Low
TKT01366,Billing,Medium
TKT01367,Sales,Low
TKT01368,Technical Support,Low
TKT01369,Sales,Medium
TKT01370,Sales,Medium
TKT01371,Product Feedback,Medium
TKT01372,Sales,Low
TKT01373,Technical Support,High
TKT01374,Account Management,Medium
TKT01375,Billing,High
TKT01376,Product Feedback,Low
TKT01377,Technical Support,High
TKT01378,Billing,Low
TKT01379,Technical Support,High
TKT01380,Sales,Low
TKT01381,Billing,Medium
TKT01382,Product Feedback,Medium
TKT01383,Account Management,High
TKT01384,Product Feedback,Low
TKT01385,Product Feedback,Low
TKT01386,Account Management,High
TKT01387,Sales,High
TKT01388,Account Management,Medium
TKT01389,Product Feedback,Medium
TKT01390,Technical Support,Low
TKT01391,Account Management,Medium
TKT01392,Account Management,Medium
TKT01393,Account Management,Low
TKT01394,Technical Support,Low
TKT01395,Sales,Low
TKT01396,Account Management,Medium
TKT01397,Account Management,Low
TKT01398,Billing,Medium
TKT01399,Sales,Low
TKT01400,Account Management,Low
TKT01401,Product Feedback,Low
TKT01402,Billing,Medium
TKT01403,Sales,Low
TKT01404,Product Feedback,Medium
TKT01405,Billing,Medium
TKT01406,Account Management,Low
TKT01407,Billing,Medium
TKT01408,Technical Support,Low
TKT01409,Sales,Medium
TKT01410,Account Management,High
TKT01411,Billing,Low
TKT01412,Account Management,Low
TKT01413,Billing,Low
TKT01414,Account Management,High
TKT01415,Sales,Medium
TKT01416,Technical Support,Medium
TKT01417,Billing,High
TKT01418,Sales,High
TKT01419,Technical Support,Low
TKT01420,Account Management,Medium
TKT01421,Account Management,Medium
TKT01422,Account Management,Low
TKT01423,Product Feedback,Medium
TKT01424,Product Feedback,Medium
TKT01425,Technical Support,Low
TKT01426,Technical Support,Medium
TKT01427,Account Management,High
TKT01428,Product Feedback,Low
TKT01429,Account Management,Low
TKT01430,Billing,Medium
TKT01431,Billing,High
TKT01432,Sales,Low
TKT01433,Billing,Low
TKT01434,Sales,High
TKT01435,Product Feedback,Medium
TKT01436,Product Feedback,Medium
TKT01437,Product Feedback,Low
TKT01438,Account Management,Low
TKT01439,Technical Support,Medium
TKT01440,Account Management,Low
TKT01441,Technical Support,High
TKT01442,Technical Support,Medium
TKT01443,Product Feedback,Low
TKT01444,Billing,Low
TKT01445,Sales,Low
TKT01446,Sales,Medium
TKT01447,Account Management,High
TKT01448,Product Feedback,Low
TKT01449,Product Feedback,Low
TKT01450,Product Feedback,Medium
TKT01451,Product Feedback,Low
TKT01452,Account Management,Medium
TKT01453,Product Feedback,Medium
TKT01454,Technical Support,Medium
TKT01455,Technical Support,Medium
TKT01456,Technical Support,Low
TKT01457,Product Feedback,High
TKT01458,Billing,Medium
TKT01459,Product Feedback,Medium
TKT01460,Billing,High
TKT01461,Account Management,High
TKT01462,Billing,High
TKT01463,Product Feedback,Medium
TKT01464,Billing,Low
TKT01465,Billing,High
TKT01466,Billing,Low
TKT01467,Sales,Medium
TKT01468,Billing,High
TKT01469,Product Feedback,Low
TKT01470,Sales,Low
TKT01471,Billing,High
TKT01472,Sales,Medium
TKT01473,Product Feedback,Low
TKT01474,Technical Support,Medium
TKT01475,Sales,Medium
TKT01476,Account Management,Medium
TKT01477,Account Management,Medium
TKT01478,Account Management,Low
TKT01479,Product Feedback,Low
TKT01480,Account Management,Low
TKT01481,Billing,Low
TKT01482,Billing,Low
TKT01483,Sales,Medium
TKT01484,Sales,Low
TKT01485,Account Management,Low
TKT01486,Technical Support,High
TKT01487,Product Feedback,Medium
TKT01488,Billing,Low
TKT01489,Account Management,Medium
TKT01490,Product Feedback,Medium
TKT01491,Account Management,Low
TKT01492,Account Management,Low
TKT01493,Account Management,Low
TKT01494,Account Management,Medium
TKT01495,Technical Support,Low
TKT01496,Technical Support,Low
TKT01497,Sales,High
TKT01498,Account Management,Low
TKT01499,Product Feedback,Medium
TKT01500,Sales,Low
TKT01501,Technical Support,Medium
TKT01502,Technical Support,Low
TKT01503,Product Feedback,Low
TKT01504,Sales,High
TKT01505,Sales,Medium
TKT01506,Technical Support,Low
TKT01507,Product Feedback,High
TKT01508,Billing,Low
TKT01509,Product Feedback,High
TKT01510,Billing,Medium
TKT01511,Technical Support,Low
TKT01512,Account Management,Medium
TKT01513,Billing,High
TKT01514,Billing,High
TKT01515,Sales,Medium
TKT01516,Product Feedback,Low
TKT01517,Technical Support,Low
TKT01518,Product Feedback,Low
TKT01519,Product Feedback,High
TKT01520,Sales,High
TKT01521,Account Management,Medium
TKT01522,Account Management,Medium
TKT01523,Account Management,Low
TKT01524,Product Feedback,Low
TKT01525,Sales,Low
TKT01526,Technical Support,High
TKT01527,Technical Support,Medium
TKT01528,Account Management,High
TKT01529,Technical Support,Low
TKT01530,Product Feedback,Medium
TKT01531,Sales,Medium
TKT01532,Technical Support,Medium
TKT01533,Product Feedback,Medium
TKT01534,Technical Support,High
TKT01535,Account Management,Low
TKT01536,Technical Support,Medium
TKT01537,Account Management,Medium
TKT01538,Account Management,Low
TKT01539,Account Management,High
TKT01540,Account Management,Low
TKT01541,Billing,Medium
TKT01542,Technical Support,High
TKT01543,Technical Support,High
TKT01544,Product Feedback,Low
TKT01545,Billing,Medium
TKT01546,Account Management,High
TKT01547,Sales,Low
TKT01548,Billing,Low
TKT01549,Technical Support,Low
TKT01550,Technical Support,High
TKT01551,Account Management,Medium
TKT01552,Product Feedback,Medium
TKT01553,Billing,Medium
TKT01554,Sales,Medium
TKT01555,Product Feedback,Low
TKT01556,Technical Support,Low
TKT01557,Billing,High
TKT01558,Billing,Low
TKT01559,Technical Support,Low
TKT01560,Billing,Low
TKT01561,Technical Support,Low
TKT01562,Product Feedback,Low
TKT01563,Product Feedback,Low
TKT01564,Technical Support,Low
TKT01565,Product Feedback,High
TKT01566,Product Feedback,Low
TKT01567,Sales,Low
TKT01568,Sales,Medium
TKT01569,Product Feedback,Low
TKT01570,Account Management,Low
TKT01571,Technical Support,High
TKT01572,Billing,Low
TKT01573,Technical Support,Medium
TKT01574,Product Feedback,Low
TKT01575,Technical Support,Low
TKT01576,Product Feedback,High
TKT01577,Product Feedback,Low
TKT01578,Technical Support,Low
TKT01579,Product Feedback,Low
TKT01580,Product Feedback,Medium
TKT01581,Sales,High
TKT01582,Technical Support,High
TKT01583,Billing,Medium
TKT01584,Sales,High
TKT01585,Technical Support,Low
TKT01586,Account Management,Medium
TKT01587,Account Management,Medium
TKT01588,Technical Support,Low
TKT01589,Technical Support,High
TKT01590,Billing,High
TKT01591,Product Feedback,Low
TKT01592,Sales,Low
TKT01593,Sales,Medium
TKT01594,Billing,Low
TKT01595,Technical Support,Medium
TKT01596,Product Feedback,Medium
TKT01597,Billing,Medium
TKT01598,Billing,Low
TKT01599,Sales,Medium
TKT01600,Account Management,High
TKT01601,Billing,High
TKT01602,Billing,Low
TKT01603,Product Feedback,Low
TKT01604,Technical Support,Medium
TKT01605,Account Management,High
TKT01606,Billing,Medium
TKT01607,Technical Support,Medium
TKT01608,Product Feedback,High
TKT01609,Sales,Medium
TKT01610,Product Feedback,Low
TKT01611,Technical Support,Low
TKT01612,Sales,High
TKT01613,Sales,High
TKT01614,Billing,Low
TKT01615,Billing,Medium
TKT01616,Product Feedback,Medium
TKT01617,Technical Support,Low
TKT01618,Technical Support,Medium
TKT01619,Billing,Low
TKT01620,Technical Support,Low
TKT01621,Account Management,Low
TKT01622,Technical Support,High
TKT01623,Product Feedback,Medium
TKT01624,Sales,Medium
TKT01625,Technical Support,High
TKT01626,Technical Support,Low
TKT01627,Sales,Medium
TKT01628,Sales,High
TKT01629,Product Feedback,Medium
TKT01630,Technical Support,High
TKT01631,Product Feedback,High
TKT01632,Technical Support,Low
TKT01633,Account Management,High
TKT01634,Billing,Low
TKT01635,Product Feedback,Medium
TKT01636,Product Feedback,Low
TKT01637,Technical Support,Medium
TKT01638,Technical Support,Medium
TKT01639,Billing,Low
TKT01640,Account Management,Low
TKT01641,Billing,Medium
TKT01642,Account Management,High
TKT01643,Technical Support,High
TKT01644,Sales,High
TKT01645,Technical Support,Low
TKT01646,Billing,Low
TKT01647,Sales,Low
TKT01648,Product Feedback,Medium
TKT01649,Product Feedback,High
TKT01650,Product Feedback,High
TKT01651,Sales,High
TKT01652,Sales,Low
TKT01653,Account Management,Low
TKT01654,Account Management,High
TKT01655,Billing,Low
TKT01656,Sales,High
TKT01657,Product Feedback,High
TKT01658,Product Feedback,Medium
TKT01659,Billing,Low
TKT01660,Account Management,Medium
TKT01661,Technical Support,High
TKT01662,Account Management,Medium
TKT01663,Sales,Low
TKT01664,Billing,High
TKT01665,Billing,Medium
TKT01666,Technical Support,Low
TKT01667,Product Feedback,Low
TKT01668,Sales,Low
TKT01669,Product Feedback,Medium
TKT01670,Sales,Low
TKT01671,Billing,Medium
TKT01672,Product Feedback,Medium
TKT01673,Sales,Medium
TKT01674,Billing,High
TKT01675,Account Management,Low
TKT01676,Billing,Medium
TKT01677,Account Management,Low
TKT01678,Account Management,Medium
TKT01679,Product Feedback,Low
TKT01680,Billing,Medium
TKT01681,Sales,Medium
TKT01682,Product Feedback,Medium
TKT01683,Technical Support,High
TKT01684,Account Management,Medium
TKT01685,Sales,Low
TKT01686,Billing,Low
TKT01687,Account Management,Low
TKT01688,Billing,High
TKT01689,Account Management,Low
TKT01690,Technical Support,Low
TKT01691,Account Management,Medium
TKT01692,Account Management,High
TKT01693,Product Feedback,High
TKT01694,Technical Support,High
TKT01695,Product Feedback,Low
TKT01696,Account Management,Low
TKT01697,Billing,Low
TKT01698,Product Feedback,Low
TKT01699,Sales,Low
TKT01700,Sales,Low
TKT01701,Technical Support,Medium
TKT01702,Technical Support,Medium
TKT01703,Sales,High
TKT01704,Billing,Medium
TKT01705,Product Feedback,Low
TKT01706,Account Management,High
TKT01707,Technical Support,High
TKT01708,Technical Support,Medium
TKT01709,Account Management,Low
TKT01710,Account Management,Medium
TKT01711,Product Feedback,Low
TKT01712,Product Feedback,Medium
TKT01713,Sales,Low
TKT01714,Account Management,Medium
TKT01715,Account Management,Medium
TKT01716,Billing,Low
TKT01717,Technical Support,Medium
TKT01718,Account Management,Low
TKT01719,Technical Support,Low
TKT01720,Technical Support,Medium
TKT01721,Account Management,Low
TKT01722,Account Management,Low
TKT01723,Account Management,High
TKT01724,Billing,High
TKT01725,Account Management,Low
TKT01726,Technical Support,Low
TKT01727,Technical Support,Low
TKT01728,Sales,Low
TKT01729,Account Management,Low
TKT01730,Sales,Low
TKT01731,Account Management,Low
TKT01732,Billing,Low
TKT01733,Billing,Medium
TKT01734,Billing,Medium
TKT01735,Technical Support,High
TKT01736,Technical Support,Low
TKT01737,Sales,Low
TKT01738,Billing,Medium
TKT01739,Technical Support,Medium
TKT01740,Sales,Low
TKT01741,Account Management,Medium
TKT01742,Billing,Low
TKT01743,Technical Support,Low
TKT01744,Product Feedback,Medium
TKT01745,Technical Support,Medium
TKT01746,Billing,Low
TKT01747,Sales,Medium
TKT01748,Technical Support,Low
TKT01749,Product Feedback,Low
TKT01750,Product Feedback,Low
TKT01751,Billing,Medium
TKT01752,Product Feedback,High
TKT01753,Product Feedback,Low
TKT01754,Sales,Medium
TKT01755,Product Feedback,Low
TKT01756,Product Feedback,Low
TKT01757,Technical Support,Medium
TKT01758,Product Feedback,Low
TKT01759,Product Feedback,Low
TKT01760,Account Management,High
TKT01761,Account Management,Low
TKT01762,Billing,Medium
TKT01763,Technical Support,Low
TKT01764,Product Feedback,Low
TKT01765,Billing,Low
TKT01766,Product Feedback,Medium
TKT01767,Product Feedback,Low
TKT01768,Product Feedback,Low
TKT01769,Technical Support,Medium
TKT01770,Billing,High
TKT01771,Sales,Low
TKT01772,Sales,Medium
TKT01773,Product Feedback,Low
TKT01774,Product Feedback,Low
TKT01775,Account Management,Medium
TKT01776,Billing,Low
TKT01777,Billing,Medium
TKT01778,Account Management,Low
TKT01779,Product Feedback,Medium
TKT01780,Sales,Low
TKT01781,Billing,High
TKT01782,Account Management,Medium
TKT01783,Billing,Medium
TKT01784,Sales,Medium
TKT01785,Sales,Low
TKT01786,Billing,Low
TKT01787,Technical Support,Low
TKT01788,Account Management,High
TKT01789,Technical Support,Medium
TKT01790,Billing,Low
TKT01791,Account Management,High
TKT01792,Sales,Medium
TKT01793,Sales,Low
TKT01794,Technical Support,Low
TKT01795,Technical Support,Medium
TKT01796,Account Management,Medium
TKT01797,Account Management,Low
TKT01798,Sales,Low
TKT01799,Technical Support,Medium
TKT01800,Sales,Low
TKT01801,Billing,Low
TKT01802,Product Feedback,Low
TKT01803,Product Feedback,Low
TKT01804,Sales,Medium
TKT01805,Product Feedback,High
TKT01806,Billing,Low
TKT01807,Account Management,Medium
TKT01808,Account Management,Medium
TKT01809,Account Management,High
TKT01810,Sales,Medium
TKT01811,Account Management,Medium
TKT01812,Sales,Low
TKT01813,Product Feedback,Medium
TKT01814,Billing,Medium
TKT01815,Account Management,Medium
TKT01816,Account Management,Low
TKT01817,Technical Support,Low
TKT01818,Sales,High
TKT01819,Sales,Medium
TKT01820,Account Management,High
TKT01821,Sales,Low
TKT01822,Account Management,Medium
TKT01823,Billing,Medium
TKT01824,Account Management,Medium
TKT01825,Technical Support,High
TKT01826,Technical Support,Low
TKT01827,Billing,Low
TKT01828,Product Feedback,Medium
TKT01829,Product Feedback,Low
TKT01830,Product Feedback,Low
TKT01831,Account Management,Low
TKT01832,Technical Support,Low
TKT01833,Sales,High
TKT01834,Billing,Medium
TKT01835,Product Feedback,Low
TKT01836,Billing,High
TKT01837,Technical Support,Medium
TKT01838,Billing,Low
TKT01839,Account Management,Low
TKT01840,Billing,Medium
TKT01841,Product Feedback,Low
TKT01842,Technical Support,Low
TKT01843,Account Management,Medium
TKT01844,Sales,High
TKT01845,Account Management,Low
TKT01846,Account Management,Medium
TKT01847,Sales,High
TKT01848,Technical Support,High
TKT01849,Sales,Medium
TKT01850,Product Feedback,Low
TKT01851,Billing,Low
TKT01852,Account Management,Low
TKT01853,Account Management,Medium
TKT01854,Product Feedback,High
TKT01855,Product Feedback,Low
TKT01856,Account Management,Medium
TKT01857,Technical Support,Low
TKT01858,Technical Support,High
TKT01859,Technical Support,High
TKT01860,Product Feedback,Low
TKT01861,Account Management,High
TKT01862,Billing,High
TKT01863,Account Management,Medium
TKT01864,Product Feedback,High
TKT01865,Account Management,High
TKT01866,Account Management,High
TKT01867,Technical Support,High
TKT01868,Sales,Medium
TKT01869,Account Management,Low
TKT01870,Product Feedback,High
TKT01871,Billing,Medium
TKT01872,Product Feedback,Medium
TKT01873,Billing,Medium
TKT01874,Billing,High
TKT01875,Product Feedback,Medium
TKT01876,Account Management,Medium
TKT01877,Sales,Low
TKT01878,Account Management,Medium
TKT01879,Account Management,Low
TKT01880,Sales,High
TKT01881,Product Feedback,High
TKT01882,Account Management,Low
TKT01883,Product Feedback,Low
TKT01884,Technical Support,Low
TKT01885,Billing,Medium
TKT01886,Account Management,High
TKT01887,Product Feedback,Low
TKT01888,Technical Support,Low
TKT01889,Billing,Medium
TKT01890,Account Management,Low
TKT01891,Account Management,High
TKT01892,Account Management,Low
TKT01893,Account Management,Medium
TKT01894,Billing,High
TKT01895,Technical Support,Low
TKT01896,Product Feedback,High
TKT01897,Account Management,Low
TKT01898,Technical Support,Low
TKT01899,Billing,Medium
TKT01900,Sales,Low
TKT01901,Technical Support,High
TKT01902,Billing,Medium
TKT01903,Sales,Medium
TKT01904,Technical Support,High
TKT01905,Billing,Low
TKT01906,Product Feedback,High
TKT01907,Account Management,Medium
TKT01908,Product Feedback,Low
TKT01909,Technical Support,Medium
TKT01910,Technical Support,Medium
TKT01911,Technical Support,Low
TKT01912,Sales,Medium
TKT01913,Product Feedback,Medium
TKT01914,Technical Support,Medium
TKT01915,Technical Support,Low
TKT01916,Account Management,Low
TKT01917,Product Feedback,Low
TKT01918,Billing,Low
TKT01919,Account Management,High
TKT01920,Sales,Low
TKT01921,Product Feedback,Medium
TKT01922,Account Management,High
TKT01923,Account Management,Low
TKT01924,Account Management,High
TKT01925,Sales,Low
TKT01926,Product Feedback,Medium
TKT01927,Technical Support,Low
TKT01928,Product Feedback,Low
TKT01929,Technical Support,Low
TKT01930,Sales,Low
TKT01931,Sales,Low
